Model,F1,Precision,Recall,AUPRC,ROC_AUC
Random Forest,0.6501687289088864,0.5700197238658777,0.756544502617801,0.6936460247174835,0.9218202007818231
Logistic Regression,0.6373390557939914,0.54,0.7774869109947644,0.6380155251122738,0.9166423812442844
XGBoost,0.6329787234042553,0.6432432432432432,0.6230366492146597,0.7214959200476389,0.927068364301434
