Model,F1,Precision,Recall,AUPRC,ROC_AUC
Random Forest,0.6528258362168397,0.5835051546391753,0.7408376963350786,0.6703274162574032,0.8942503843796163
XGBoost,0.6453333333333333,0.657608695652174,0.6335078534031413,0.6888608038654553,0.8974535478489817
Logistic Regression,0.64293659621802,0.5589941972920697,0.756544502617801,0.6287441958728307,0.8835279516837335
