Model,F1_BehavioralOnly,F1_BehavioralPlusTemporal,AUPRC_BehavioralOnly,AUPRC_BehavioralPlusTemporal,F1_Gain_From_Temporal,AUPRC_Gain_From_Temporal
Random Forest,0.6528258362168397,0.6501687289088864,0.6703274162574032,0.6936460247174835,-0.0026571073079532104,0.02331860846008027
Logistic Regression,0.64293659621802,0.6373390557939914,0.6287441958728307,0.6380155251122738,-0.005597540424028602,0.009271329239443071
XGBoost,0.6453333333333333,0.6329787234042553,0.6888608038654553,0.7214959200476389,-0.012354609929077998,0.03263511618218351
